
Jesus Yanes
Ubuntu Patches Txt file 
NSS 1501

  
Patched:
  apache2 apache2-bin apache2-data apache2-mpm-prefork base-files grub-common
  grub-pc grub-pc-bin grub2-common language-selector-common libtasn1-6
  linux-firmware upstart



acpid						install
adduser						install
apache2						install
apache2-bin					install
apache2-data					install
apache2-mpm-prefork				install
apt						install
apt-utils					install
apt-xapian-index				install
aptitude					install
aptitude-common					install
base-files					install
base-passwd					install
bash						install
binutils					install
biosdevname					install
bsdmainutils					install
bsdutils					install
build-essential					install
busybox-initramfs				install
bzip2						install
ca-certificates					install
console-setup					install
coreutils					install
cpio						install
cpp						install
cpp-4.8						install
cron						install
curl						install
dash						install
dbconfig-common					install
debconf						install
debconf-i18n					install
debianutils					install
dh-python					install
diffutils					install
dkms						install
dmidecode					install
dmsetup						install
dpkg						install
dpkg-dev					install
e2fslibs:amd64					install
e2fsprogs					install
eject						install
exim4						install
exim4-base					install
exim4-config					install
exim4-daemon-light				install
fakeroot					install
file						install
findutils					install
fontconfig-config				install
fonts-dejavu-core				install
g++						install
g++-4.8						install
gcc						install
gcc-4.8						install
gcc-4.8-base:amd64				install
gcc-4.9-base:amd64				install
gettext-base					install
gnupg						install
goaccess					install
gpgv						install
grep						install
groff-base					install
grub-common					install
grub-gfxpayload-lists				install
grub-pc						install
grub-pc-bin					install
grub2-common					install
gzip						install
heirloom-mailx					install
hostname					install
ifupdown					install
init-system-helpers				install
initramfs-tools					install
initramfs-tools-bin				install
initscripts					install
insserv						install
installation-report				install
iproute2					install
iputils-ping					install
isc-dhcp-client					install
isc-dhcp-common					install
iso-codes					install
javascript-common				install
kbd						install
keyboard-configuration				install
klibc-utils					install
kmod						install
krb5-locales					install
language-pack-en				install
language-pack-en-base				install
laptop-detect					install
less						install
libacl1:amd64					install
libaio1:amd64					install
libalgorithm-diff-perl				install
libalgorithm-diff-xs-perl			install
libalgorithm-merge-perl				install
libapache2-mod-php5				install
libapr1:amd64					install
libaprutil1:amd64				install
libaprutil1-dbd-sqlite3:amd64			install
libaprutil1-ldap:amd64				install
